partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,misma_tanda,652520,71,0.6641201873117748,0.9208212907708444,9190.422535211268,69487.0,13930.085714285715
train,motor_amasadora,422,4,0.00042950211341502017,0.005423508870789505,105.5,149.0,115.66666666666667
train,nivel_hi_aceite,0,0,0.0,0.0,0.0,0.0,
train,no_abre_tapa,73,5,7.429775895567885e-05,0.0011262769956425823,14.6,50.0,189130.0
train,no_abre_valvula_tapa,0,0,0.0,0.0,0.0,0.0,
train,no_abre_valvula_tolva,0,0,0.0,0.0,0.0,0.0,
train,no_cierra_tapa,26,1,2.646221551846096e-05,0.00044055308765550514,26.0,26.0,
train,no_cierra_valvula_tolva,50941,8,0.0518466046433046,0.29419000841261367,6367.625,18354.0,50573.42857142857
train,no_cierra_valvulatapa,0,0,0.0,0.0,0.0,0.0,
train,no_descar_ingre,27,3,2.7479993038401762e-05,0.0004560011922794224,9.0,14.0,327821.0
train,no_frena_motor_principal,0,0,0.0,0.0,0.0,0.0,
train,no_frena_volteador_cazo,50950,8,0.05185576464098407,0.29422841321116266,6368.75,18356.0,50573.42857142857
train,no_hay_aceite_1,245552,6,0.24991730557650482,0.8111470305884624,40925.333333333336,162889.0,173804.4
train,no_hay_aceite_2,877285,8,0.89288095158127,0.4911645091937127,109660.625,254114.0,105483.42857142857
train,no_hay_aire,50938,8,0.05184355131074478,0.2941772062659078,6367.25,18354.0,50573.42857142857
train,no_hay_artesa,119,9,0.00012111552487295592,0.0017505960748656912,13.222222222222221,46.0,94060.25
train,no_hay_masas,0,0,0.0,0.0,0.0,0.0,
train,no_ingrediente,2890,436,0.0029413770326289293,0.028972163047129875,6.628440366972477,67.0,2257.0298850574713
train,no_vacia,0,0,0.0,0.0,0.0,0.0,
train,orden_dosificacion_sal,651936,222,0.6635258052401294,0.9214047229624578,2936.6486486486488,69488.0,4436.027149321267
train,paro_motor_amasado,167052,3059,0.17002177026115153,0.6577545774611202,54.610003269042174,26001.0,321.2351209941138
train,peticion_aceite,6554,1161,0.006670513865692043,0.05780573213629613,5.645133505598622,18.0,803.2129310344827
train,peticion_harina,147412,1328,0.1500326197695141,0.6099219296810817,111.00301204819277,66102.0,714.3187641296157
train,peticion_levadura,64224,3014,0.06536574344067833,0.34838651873993276,21.3085600530856,208.0,326.07135745104546
